i,k,ca_value
0,0,10
0,1,2
0,2,1
0,3,2
0,4,18
1,0,5
1,1,1
1,2,0
1,3,4
1,4,0
2,0,5
2,1,1
2,2,0
2,3,0
2,4,0
3,0,5
3,1,2
3,2,0
3,3,0
3,4,0
4,0,5
4,1,0
4,2,0
4,3,0
4,4,0
5,0,5
5,1,1
5,2,0
5,3,2
5,4,3
6,0,5
6,1,1
6,2,0
6,3,0
6,4,3
7,0,5
7,1,1
7,2,0
7,3,1
7,4,3
8,0,5
8,1,1
8,2,0
8,3,1
8,4,3
9,0,5
9,1,1
9,2,0
9,3,1
9,4,3
10,0,5
10,1,1
10,2,0
10,3,1
10,4,3
11,0,5
11,1,1
11,2,0
11,3,1
11,4,3
12,0,5
12,1,1
12,2,0
12,3,1
12,4,3
13,0,5
13,1,1
13,2,0
13,3,1
13,4,3
14,0,5
14,1,1
14,2,0
14,3,1
14,4,3
15,0,5
15,1,1
15,2,0
15,3,1
15,4,3
16,0,5
16,1,1
16,2,0
16,3,1
16,4,3
17,0,5
17,1,1
17,2,0
17,3,1
17,4,3
18,0,5
18,1,1
18,2,0
18,3,1
18,4,3
19,0,0
19,1,1
19,2,0
19,3,0
19,4,3
20,0,0
20,1,1
20,2,0
20,3,0
20,4,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
22,0,0
22,1,0
22,2,0
22,3,0
22,4,0
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
