i,j,pc_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,3360
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
3,0,0
3,1,0
3,2,0
3,3,40
3,4,0
3,5,0
3,6,0
3,7,128
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
4,0,34
4,1,0
4,2,0
4,3,41
4,4,16
4,5,16
4,6,0
4,7,133
4,8,0
4,9,16
4,10,0
4,11,66
4,12,41
4,13,8
5,0,35
5,1,0
5,2,0
5,3,42
5,4,17
5,5,17
5,6,0
5,7,137
5,8,28
5,9,17
5,10,4
5,11,68
5,12,42
5,13,8
6,0,35
6,1,0
6,2,0
6,3,43
6,4,17
6,5,17
6,6,0
6,7,140
6,8,28
6,9,17
6,10,4
6,11,70
6,12,43
6,13,8
7,0,36
7,1,0
7,2,35
7,3,44
7,4,17
7,5,17
7,6,0
7,7,142
7,8,29
7,9,17
7,10,4
7,11,71
7,12,44
7,13,8
8,0,36
8,1,0
8,2,36
8,3,45
8,4,18
8,5,18
8,6,0
8,7,144
8,8,29
8,9,18
8,10,4
8,11,72
8,12,45
8,13,9
9,0,37
9,1,0
9,2,36
9,3,45
9,4,18
9,5,18
9,6,0
9,7,145
9,8,30
9,9,18
9,10,4
9,11,72
9,12,45
9,13,9
10,0,37
10,1,36
10,2,36
10,3,45
10,4,18
10,5,18
10,6,0
10,7,146
10,8,30
10,9,18
10,10,4
10,11,73
10,12,45
10,13,9
11,0,37
11,1,36
11,2,36
11,3,46
11,4,18
11,5,18
11,6,0
11,7,147
11,8,30
11,9,18
11,10,4
11,11,73
11,12,46
11,13,9
